module_name,modified_date,current_version,newest_version,links,notes,tag
FluentMigrator.Runner.dll,2018-04-27 06:39,,,,,
EPiServer.CloudPlatform.Cms.dll,2024-02-06 12:21,,,,,
Jenson.Web.dll,2024-10-07 19:50,,,,,
System.Composition.TypedParts.dll,2018-05-15 13:29,,,,,
System.Linq.Async.dll,2022-02-01 15:33,,,,,
Microsoft.ServiceProfiler.Contract.Agent.Profiler.dll,2023-06-27 00:15,,,,,
Microsoft.CodeAnalysis.Razor.dll,2024-01-20 22:58,,,,,
EPiServer.CMS.dll,2024-01-16 11:18,,,,,
Microsoft.Extensions.DependencyInjection.dll,2022-09-26 17:42,,,,,
CommandLine.dll,2020-05-01 16:28,,,,,
FluentMigrator.Runner.Redshift.dll,2018-04-27 06:39,,,,,
Microsoft.AspNetCore.ResponseCaching.Abstractions.dll,2024-10-07 19:46,,,,,
System.IO.FileSystem.Primitives.dll,2024-10-07 19:46,,,,,
System.Diagnostics.Tracing.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.HostFiltering.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Primitives.dll,2024-10-07 19:46,,,,,
System.Security.Cryptography.X509Certificates.dll,2024-10-07 19:46,,,,,
System.Text.Encodings.Web.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Server.Kestrel.Transport.Quic.dll,2024-10-07 19:46,,,,,
System.ObjectModel.dll,2024-10-07 19:46,,,,,
System.Windows.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.Abstractions.dll,2024-10-07 19:46,,,,,
System.ComponentModel.EventBasedAsync.dll,2024-10-07 19:46,,,,,
System.Threading.ThreadPool.dll,2024-10-07 19:46,,,,,
System.Threading.Overlapped.dll,2024-10-07 19:46,,,,,
System.Diagnostics.StackTrace.dll,2024-10-07 19:46,,,,,
System.Net.WebSockets.dll,2024-10-07 19:46,,,,,
System.Reflection.Emit.dll,2024-10-07 19:46,,,,,
System.Resources.Reader.dll,2024-10-07 19:46,,,,,
System.Net.Requests.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Rewrite.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.Debug.dll,2024-10-07 19:46,,,,,
System.Xml.Linq.dll,2024-10-07 19:46,,,,,
System.Threading.Tasks.Dataflow.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Http.Connections.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Localization.Routing.dll,2024-10-07 19:46,,,,,
System.Security.Cryptography.OpenSsl.dll,2024-10-07 19:46,,,,,
System.Net.NetworkInformation.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.Binder.dll,2024-10-07 19:46,,,,,
System.Formats.Asn1.dll,2024-10-07 19:46,,,,,
System.Console.dll,2024-10-07 19:46,,,,,
System.Reflection.Primitives.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.ResponseCompression.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.RazorPages.dll,2024-10-07 19:46,,,,,
System.Runtime.Serialization.Json.dll,2024-10-07 19:46,,,,,
System.ComponentModel.dll,2024-10-07 19:46,,,,,
Microsoft.Win32.Primitives.dll,2024-10-07 19:46,,,,,
System.Runtime.Serialization.Formatters.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.DataProtection.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Components.dll,2024-10-07 19:46,,,,,
System.IO.IsolatedStorage.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Routing.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Antiforgery.dll,2024-10-07 19:46,,,,,
System.Net.NameResolution.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Components.Forms.dll,2024-10-07 19:46,,,,,
System.Net.Primitives.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Localization.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Session.dll,2024-10-07 19:46,,,,,
System.IO.UnmanagedMemoryStream.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.KeyPerFile.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Options.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Metadata.dll,2024-10-07 19:46,,,,,
System.Runtime.InteropServices.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Cryptography.KeyDerivation.dll,2024-10-07 19:46,,,,,
EPiServer.Commerce.ODP.dll,2023-09-12 10:33,,,,,
System.Configuration.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Connections.Abstractions.dll,2024-10-07 19:46,,,,,
System.Net.WebProxy.dll,2024-10-07 19:46,,,,,
System.Xml.Serialization.dll,2024-10-07 19:46,,,,,
System.Xml.ReaderWriter.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.FileProviders.Abstractions.dll,2024-10-07 19:46,,,,,
System.Diagnostics.PerformanceCounter.dll,2019-11-15 08:33,,,,,
System.Runtime.CompilerServices.Unsafe.dll,2024-10-07 19:46,,,,,
System.Core.dll,2024-10-07 19:46,,,,,
